"","carat","cut","color","clarity","depth","table","price","x","y","z"
"4659",1.12,"Fair","I","SI2",64.6,57,3669,6.5,6.47,4.19
"2859",0.72,"Ideal","H","VS1",60.7,55,3274,5.83,5.85,3.54
"1975",1.2,"Premium","G","I1",60.3,58,3091,6.82,6.77,4.1
"3162",0.92,"Good","D","SI2",57.8,63,3335,6.36,6.4,3.69
"1561",0.78,"Ideal","G","SI1",60.6,57,3004,5.95,5.97,3.61
"1502",0.75,"Very Good","E","SI1",63.6,56,2993,5.73,5.75,3.65
"1072",0.31,"Very Good","I","VS2",63.1,54,558,4.34,4.31,2.73
"1802",0.78,"Ideal","E","SI2",61,56,3053,5.92,5.98,3.63
"4799",0.9,"Very Good","E","SI2",63.5,58,3697,6.08,6.14,3.88
"752",0.77,"Premium","F","SI1",60.8,59,2856,5.92,5.86,3.58
"444",0.96,"Fair","E","SI2",53.1,63,2815,6.73,6.65,3.55
"692",0.73,"Ideal","E","SI1",62.7,55,2852,5.7,5.79,3.6
"3362",0.3,"Ideal","G","SI2",60.6,56,405,4.35,4.4,2.65
"3016",0.53,"Very Good","D","VVS1",61.2,55,3307,5.21,5.26,3.21
"4341",0.81,"Ideal","E","VS2",62,55,3601,5.97,5.99,3.71
"3277",1,"Very Good","I","SI1",59.3,63,3360,6.52,6.47,3.85
"3588",1,"Good","J","VS2",57.6,58,3422,6.59,6.56,3.79
"2536",0.9,"Fair","D","SI2",64.7,54,3205,6.1,6.04,3.93
"3211",0.83,"Premium","D","SI1",62.2,60,3347,6.01,5.98,3.73
"3998",0.76,"Very Good","E","VS2",63.4,58,3517,5.76,5.82,3.67
"3824",0.8,"Very Good","F","VS2",62.1,60,3471,5.86,5.92,3.66
"4764",0.9,"Good","D","SI1",64.1,56,3689,6.07,6.04,3.88
"2137",0.71,"Ideal","G","VS1",61.8,56.1,3123,5.72,5.74,3.54
"1515",0.7,"Ideal","G","VS1",60.9,56,2995,5.76,5.8,3.52
"1990",0.71,"Very Good","D","VS2",63.1,59,3096,5.64,5.67,3.57
"51",0.24,"Very Good","F","SI1",60.9,61,404,4.02,4.03,2.45
"893",0.7,"Ideal","F","VS1",61.6,55,2874,5.75,5.71,3.53
"4093",1.02,"Good","J","SI2",63.4,56,3534,6.36,6.42,4.05
"1123",0.71,"Ideal","H","VVS1",62.1,54,2918,5.7,5.76,3.56
"1161",0.51,"Very Good","E","IF",63.3,58,2925,5.03,5.08,3.2
"373",0.73,"Very Good","D","SI1",63.1,57,2808,5.74,5.7,3.61
"1193",0.59,"Very Good","D","VVS2",60.6,59,2933,5.44,5.49,3.31
"3552",1.07,"Good","F","I1",64.3,59,3415,6.42,6.37,4.11
"4111",0.91,"Good","E","SI2",63.9,61,3538,6.03,6.09,3.87
"2413",0.74,"Very Good","E","VS2",61.8,58,3180,5.79,5.82,3.59
"1881",0.7,"Good","D","VS2",58,65,3073,5.81,5.73,3.39
"1195",0.75,"Ideal","F","VS2",62.3,57,2933,5.81,5.87,3.64
"539",0.79,"Premium","H","VVS2",62.6,58,2827,5.96,5.9,3.71
"1890",0.72,"Ideal","H","VVS1",62.2,57,3075,5.72,5.75,3.57
"2771",0.7,"Very Good","F","VVS1",63.3,56,3252,5.7,5.64,3.59
"1051",0.33,"Ideal","G","SI2",62.9,55,557,4.46,4.41,2.79
"2154",0.73,"Ideal","G","VVS2",61.9,56,3127,5.81,5.75,3.58
"1056",0.25,"Premium","E","VS1",60.7,59,558,4.13,4.11,2.5
"2432",0.72,"Very Good","E","SI1",63.3,56,3183,5.67,5.71,3.6
"1713",0.4,"Good","H","SI2",63.7,59,561,4.64,4.69,2.97
"3145",0.71,"Very Good","D","VS1",64.1,57,3332,5.64,5.66,3.62
"1813",0.78,"Very Good","E","SI1",60.9,57,3055,5.93,5.97,3.62
"1719",0.32,"Good","G","VS2",63.3,54,561,4.36,4.39,2.77
"2581",0.7,"Premium","D","VS1",62.9,59,3214,5.72,5.66,3.58
"3579",0.8,"Ideal","F","SI1",60.5,57,3420,6.02,6.07,3.66
"1069",0.31,"Premium","I","VS2",59.9,60,558,4.44,4.41,2.65
"1995",0.81,"Premium","F","SI1",60.3,59,3097,5.98,6.05,3.63
"1284",0.72,"Ideal","E","SI1",61,56,2951,5.84,5.79,3.55
"3043",0.3,"Ideal","F","VS2",62.4,57,565,4.29,4.33,2.69
"888",0.71,"Premium","D","VS2",61.2,59,2874,5.69,5.74,3.5
"4170",1.03,"Premium","I","VS1",61.6,58,3553,6.5,6.42,3.98
"3604",0.91,"Good","H","SI1",63.9,60,3425,6.13,6.08,3.9
"3226",0.76,"Ideal","D","VS2",60.2,56,3352,5.92,5.95,3.57
"2982",0.96,"Fair","G","SI1",69.7,59,3299,6.09,5.9,4.18
"1796",1.03,"Fair","G","SI1",66.1,56,3052,6.26,6.2,4.12
"2556",0.8,"Very Good","H","VS1",61.7,62,3209,5.89,5.94,3.65
"4218",0.72,"Ideal","D","SI1",61.7,55,3568,5.77,5.8,3.57
"2805",0.91,"Premium","G","SI1",62.5,56,3262,6.3,6.18,3.9
"4048",1.03,"Fair","G","SI2",65.7,58,3530,6.32,6.26,4.13
"1506",0.72,"Ideal","D","SI1",61.1,59,2993,5.76,5.8,3.53
"3413",0.38,"Ideal","F","SI2",60.9,56,568,4.69,4.74,2.87
"1277",0.81,"Very Good","I","VS1",62.7,58,2950,5.9,5.96,3.72
"2863",0.95,"Ideal","J","SI1",63,56,3275,6.32,6.26,3.96
"2318",0.7,"Ideal","E","VS1",62.6,55,3167,5.66,5.69,3.55
"1276",0.99,"Fair","J","SI1",58,67,2949,6.57,6.5,3.79
"2718",0.3,"Ideal","E","SI1",62.3,57,564,4.28,4.32,2.68
"4395",0.31,"Good","D","SI1",63.5,58,571,4.27,4.3,2.72
"4339",1.5,"Premium","H","I1",61.1,59,3599,7.37,7.26,4.47
"1319",0.72,"Good","G","VS1",58,57.8,2958,5.85,5.87,3.4
"1547",0.77,"Very Good","E","SI2",60.4,58,3002,5.91,5.95,3.58
"4739",0.3,"Ideal","F","VS2",61.9,54,573,4.29,4.33,2.67
"2981",0.77,"Premium","G","VVS2",60.8,59,3299,5.96,5.92,3.61
"4505",0.8,"Ideal","E","SI1",61.7,56,3630,5.99,6.04,3.71
"2242",1.06,"Ideal","I","SI2",62.8,55,3146,6.51,6.46,4.07
"1955",0.91,"Very Good","H","SI1",63,57,3087,6.1,6.19,3.87
"3167",0.75,"Ideal","F","SI1",61.5,55,3336,5.88,5.9,3.62
"4971",1.51,"Fair","F","I1",67.8,59,3734,7.09,7,4.78
"2751",0.73,"Ideal","F","SI1",61.7,55,3249,5.79,5.82,3.58
"1146",0.77,"Ideal","D","SI2",60.6,56,2922,5.95,5.9,3.59
"4619",0.91,"Very Good","I","VS2",61,57,3664,6.2,6.26,3.8
"2886",0.71,"Very Good","G","VVS2",62.8,58,3281,5.69,5.75,3.59
"2471",0.71,"Very Good","E","VS1",61.5,57,3192,5.74,5.77,3.54
"1931",0.71,"Very Good","D","VS2",61.8,55,3084,5.72,5.74,3.54
"4221",1,"Good","D","SI2",64,59,3569,6.24,6.29,4.01
"1746",0.7,"Fair","F","VS1",64.9,59,3039,5.56,5.59,3.62
"1382",0.31,"Premium","E","SI2",61.2,61,558,4.37,4.36,2.67
"818",0.72,"Ideal","F","VS2",59.5,57,2863,5.91,5.86,3.5
"825",0.56,"Very Good","D","VVS1",61.8,55,2866,5.27,5.31,3.27
"2309",1,"Fair","H","SI2",63.7,54,3164,6.42,6.27,4.06
"1212",0.81,"Ideal","E","SI2",60.2,57,2938,6.1,6.06,3.66
"1036",0.53,"Ideal","D","VVS1",62.5,54,2905,5.16,5.21,3.24
"3229",0.72,"Ideal","G","VVS2",61.2,57,3352,5.76,5.77,3.53
"229",0.75,"Premium","F","SI1",61.4,59,2782,5.88,5.85,3.6
"3354",0.71,"Ideal","E","VS1",62,57,3380,5.72,5.66,3.53
"1684",0.72,"Premium","G","VS1",58.9,58,3032,5.93,5.85,3.47
"1956",0.7,"Good","D","VS2",64.1,59,3087,5.49,5.56,3.54
"3926",0.74,"Ideal","E","SI1",60.8,56,3497,5.85,5.89,3.57
"4394",0.31,"Premium","D","SI1",61.4,58,571,4.34,4.39,2.68
"1351",0.91,"Very Good","E","SI2",58.6,63,2963,6.38,6.32,3.72
"4594",1.02,"Premium","G","SI2",62.5,58,3656,6.42,6.34,3.99
"3481",0.61,"Ideal","D","VVS2",62.2,54,3397,5.41,5.45,3.38
"3279",0.82,"Ideal","F","SI1",62.1,56,3361,6.04,6,3.74
"253",0.63,"Premium","E","VVS2",62.1,57,2789,5.48,5.41,3.38
"1888",0.71,"Very Good","F","SI2",61.4,56,3075,5.71,5.73,3.51
"2282",0.7,"Ideal","F","VVS2",62,57,3160,5.68,5.74,3.54
"2675",0.7,"Good","D","VS1",57.8,60,3239,5.85,5.87,3.39
"3333",0.7,"Ideal","E","VS2",61,56,3376,5.76,5.79,3.52
"4369",0.79,"Ideal","D","SI1",61.2,57,3605,5.94,5.98,3.65
"2950",0.72,"Ideal","F","VS1",61.1,56,3294,5.79,5.76,3.53
"2044",0.32,"Premium","G","VS2",61,59,561,4.42,4.46,2.71
"2585",0.96,"Premium","G","SI2",62.7,60,3215,6.29,6.11,3.89
"279",0.81,"Ideal","F","SI2",62.6,55,2795,5.92,5.96,3.72
"1244",0.57,"Very Good","D","VVS1",60.4,57,2945,5.39,5.44,3.27
"1893",0.79,"Ideal","E","SI1",62.9,55,3075,5.93,5.86,3.71
"943",0.71,"Very Good","D","SI1",62.4,54,2887,5.71,5.79,3.59
"3963",0.81,"Very Good","G","VS1",63.1,58,3507,5.92,5.96,3.75
"729",0.34,"Ideal","E","SI1",62.2,54,556,4.47,4.5,2.79
"3826",0.73,"Ideal","E","VS1",61.4,55,3471,5.8,5.82,3.57
"2603",0.72,"Very Good","F","VS1",62.8,58,3219,5.7,5.73,3.59
"3152",0.98,"Fair","G","SI2",66.6,56,3332,6.12,6.02,4.04
"817",0.71,"Premium","E","SI1",59.1,61,2863,5.84,5.8,3.44
"3012",1,"Good","D","SI2",64,54,3304,6.29,6.24,4.01
"1484",0.7,"Ideal","G","VS1",61.3,59,2987,5.68,5.7,3.49
"3446",0.9,"Premium","H","SI1",61.4,60,3387,6.13,6.08,3.75
"4938",0.9,"Premium","H","SI1",60.7,59,3730,6.26,6.19,3.78
"4608",1.09,"Premium","I","SI1",62.7,60,3662,6.57,6.51,4.1
"4598",0.9,"Ideal","J","VS1",62.6,54,3656,6.15,6.18,3.86
"3453",0.74,"Ideal","G","VVS1",62.1,56,3388,5.78,5.82,3.6
"1222",0.81,"Ideal","I","VS2",61.8,56,2939,6.02,5.99,3.71
"1054",0.25,"Premium","F","VS1",61.2,59,558,4.05,4.02,2.47
"2816",0.84,"Ideal","D","SI1",61.5,54,3265,6.07,6.13,3.75
"1270",0.9,"Ideal","I","SI2",62,56,2948,6.2,6.16,3.83
"2521",0.71,"Very Good","D","VS2",59.7,55,3203,5.85,5.88,3.5
"3727",0.3,"Good","D","VS2",63.1,58,568,4.26,4.3,2.7
"798",0.7,"Very Good","E","VS2",58.7,63,2862,5.73,5.69,3.35
"1919",0.6,"Ideal","E","VVS1",62.5,53.7,3082,5.35,5.43,3.38
"2237",0.92,"Very Good","J","VS2",60.9,62,3146,6.26,6.31,3.83
"4116",0.81,"Ideal","E","VS2",62,55,3538,5.99,5.97,3.71
"4913",0.92,"Very Good","G","SI1",63.8,57,3724,6.13,6.16,3.92
"4180",0.9,"Very Good","F","SI2",63.4,58,3556,6.08,6.01,3.83
"3195",0.57,"Ideal","F","VVS1",61.3,56,3343,5.4,5.37,3.3
"4501",0.9,"Premium","H","VS2",60,59,3629,6.23,6.16,3.72
"2446",0.9,"Very Good","E","SI2",63.4,56,3187,6.15,5.99,3.85
"2730",0.31,"Ideal","D","SI1",61.7,55,565,4.37,4.41,2.71
"1593",0.83,"Very Good","F","SI1",62.1,58,3010,5.98,6.06,3.74
"1644",0.7,"Good","F","VVS1",63.2,58,3018,5.58,5.62,3.54
"95",0.78,"Very Good","G","SI2",63.8,56,2759,5.81,5.85,3.72
"2379",0.32,"Very Good","G","VS2",62.8,58,561,4.31,4.35,2.72
"4121",0.91,"Good","F","SI2",63.8,59,3539,6.04,6.09,3.87
"30",0.23,"Very Good","F","VS1",60.9,57,357,3.96,3.99,2.42
"341",0.71,"Very Good","G","VS1",63.5,55,2803,5.66,5.64,3.59
"777",0.7,"Premium","D","VS2",59.6,61,2859,5.8,5.77,3.45
"3641",0.71,"Ideal","E","VS1",61.4,57,3435,5.81,5.78,3.56
"3474",0.94,"Very Good","H","SI2",61.9,57,3394,6.21,6.29,3.87
"4592",1.11,"Premium","D","I1",61.9,58,3655,6.66,6.63,4.11
"2204",0.73,"Ideal","D","SI1",62.4,53,3140,5.82,5.79,3.62
"352",0.72,"Ideal","D","SI1",61.5,54,2804,5.77,5.8,3.56
"3064",0.76,"Premium","H","VVS1",60.7,58,3311,5.9,5.93,3.59
"3581",1.01,"Premium","J","SI2",63,60,3421,6.38,6.31,4
"648",0.73,"Very Good","F","VS1",61.8,59,2843,5.73,5.79,3.56
"1872",0.82,"Ideal","I","VS1",61.6,56,3071,6.05,6.01,3.72
"1062",0.31,"Premium","H","SI1",58.7,60,558,4.47,4.43,2.61
"274",0.76,"Ideal","I","VS2",61.3,56,2793,5.87,5.91,3.61
"1867",0.85,"Very Good","I","VS2",60,57,3070,6.1,6.16,3.68
"307",0.7,"Premium","E","VS1",62.2,58,2800,5.6,5.66,3.5
"1065",0.31,"Ideal","E","SI2",60.1,57,558,4.44,4.41,2.66
"258",0.76,"Premium","I","VVS1",58.8,59,2790,6,5.94,3.51
"3158",0.78,"Very Good","E","VS2",61.7,58,3334,5.9,5.93,3.65
"1403",0.25,"Very Good","E","VVS1",61.5,56,560,4.06,4.08,2.5
"475",0.72,"Ideal","H","VS1",62.3,56,2819,5.73,5.77,3.58
"339",0.71,"Premium","G","VS2",59.9,60,2803,5.81,5.77,3.47
"4145",1.07,"Fair","G","SI2",66.8,57,3545,6.34,6.26,4.21
"3550",1.07,"Ideal","H","SI1",61.5,54,3415,6.64,6.6,4.07
"3843",0.9,"Very Good","I","VS2",63.1,57,3473,6.12,6.09,3.85
"4620",0.87,"Very Good","D","SI1",60.2,60,3664,6.12,6.17,3.7
"488",0.7,"Premium","E","VS1",60.8,60,2822,5.74,5.71,3.48
"466",1,"Premium","H","I1",61.3,60,2818,6.43,6.39,3.93
"3756",1.02,"Premium","J","SI2",61.4,60,3455,6.5,6.44,3.97
"3688",0.9,"Good","I","VS1",62.8,59,3447,6.11,6.18,3.86
"45",0.32,"Good","H","SI2",63.1,56,403,4.34,4.37,2.75
"3661",0.86,"Ideal","G","SI2",61.9,55,3442,6.11,6.14,3.79
"3426",0.7,"Ideal","G","VS1",60.6,57,3384,5.73,5.79,3.5
"2960",0.7,"Fair","D","VVS2",58.5,62,3296,5.72,5.81,3.37
"2258",0.75,"Ideal","D","SI1",62,58,3152,5.81,5.84,3.61
"736",0.31,"Ideal","I","VVS1",62.2,53,557,4.36,4.38,2.72
"39",0.26,"Very Good","D","VS2",60.8,59,403,4.13,4.16,2.52
"2123",0.77,"Ideal","G","VS1",62.4,54,3121,5.93,5.89,3.69
"2310",0.7,"Ideal","G","VVS1",62.8,57,3165,5.63,5.68,3.55
"1828",0.81,"Very Good","E","SI2",62.9,56,3059,5.87,5.9,3.7
"2179",0.8,"Premium","G","VS2",59.6,59,3136,6.09,6,3.6
"3344",0.5,"Very Good","D","IF",62.9,59,3378,4.99,5.09,3.17
"260",0.71,"Premium","F","VS1",60.1,62,2790,5.77,5.74,3.46
"1663",0.9,"Good","J","VS2",63.9,58,3024,6.15,6.08,3.91
"3762",0.71,"Ideal","F","VS1",62.1,56,3457,5.69,5.75,3.55
"3915",0.74,"Ideal","G","VVS2",60.9,58,3495,5.85,5.88,3.57
"1114",0.8,"Very Good","G","SI2",62,55,2915,5.94,6.01,3.7
"1658",0.85,"Ideal","G","SI1",61.6,55,3023,6.09,6.11,3.76
"4012",0.9,"Very Good","F","SI2",62.3,58,3519,6.16,6.19,3.85
"3996",0.71,"Ideal","E","VS1",62,56,3516,5.72,5.74,3.55
"1385",0.31,"Very Good","G","VS2",62.6,56,559,4.33,4.37,2.72
"4955",1.01,"Premium","J","SI2",61.2,59,3733,6.43,6.37,3.92
"3293",0.95,"Very Good","J","VS1",62.4,57,3365,6.25,6.29,3.91
"486",0.73,"Premium","D","SI1",61.7,55,2821,5.84,5.82,3.6
"158",0.73,"Premium","G","VS2",60.7,58,2770,5.87,5.82,3.55
"4672",0.78,"Ideal","E","SI1",60.4,57,3671,5.95,6,3.61
"163",0.73,"Very Good","F","SI1",61.7,60,2771,5.79,5.82,3.58
"1581",0.71,"Ideal","G","SI1",61.4,56,3007,5.72,5.77,3.53
"4275",0.9,"Very Good","E","SI2",61,59,3584,6.14,6.18,3.76
"2883",0.91,"Fair","H","SI1",65.3,62,3278,6.11,6.01,3.96
"1337",0.72,"Premium","E","VS1",61.5,60,2961,5.79,5.75,3.55
"3445",0.9,"Very Good","H","SI1",63.4,58,3387,6.16,6.11,3.89
"3893",0.9,"Very Good","I","VS2",63.4,57,3489,6.07,6.1,3.86
"1467",0.91,"Ideal","I","SI2",61.6,57,2981,6.24,6.23,3.84
"2298",0.76,"Very Good","E","VS2",63,59,3162,5.76,5.79,3.64
"3253",0.8,"Ideal","I","IF",62.4,58,3357,5.9,5.96,3.7
"2992",1.08,"Fair","J","SI2",64.9,60,3302,6.46,6.32,4.15
"3002",0.77,"Ideal","E","VS2",61,56,3303,5.91,5.96,3.62
"4558",0.9,"Good","I","VS1",63.3,59,3644,6.06,6.1,3.85
"1933",0.81,"Premium","I","VVS2",62.9,59,3084,5.95,5.84,3.71
"557",0.76,"Very Good","E","SI2",60.8,60,2831,5.89,5.98,3.61
"2451",0.91,"Very Good","G","SI2",60.3,59,3189,6.23,6.28,3.77
"1049",0.79,"Ideal","G","SI1",60.3,60,2907,5.98,6.02,3.62
"2265",0.7,"Very Good","E","VS1",62.2,55,3154,5.65,5.67,3.52
"1724",0.32,"Premium","H","VS1",62.3,58,561,4.34,4.39,2.72
"4577",0.9,"Very Good","G","SI1",63.6,57,3649,6.09,6.12,3.88
"1807",0.79,"Ideal","E","SI1",62.1,54,3053,5.96,5.92,3.69
